sie się
ze że
juz już
sa są
moze może
ktore które
bedzie będzie
bylo było
tez też
ktory który
byl był
byc być
mozna można
takze także
wiec więc
byla była
rowniez również
jesli jeśli
ktora która
niz niż
zeby żeby
mowi mówi
ktorzy którzy
ktorych których
byly były
beda będą
maja mają
wlasnie właśnie
mial miał
ktorym którym
ja ją
cos coś
sposob sposób
ktorej której
moga mogą
jezeli jeżeli
miedzy między
prosze proszę
przeciez przecież
zostal został
nalezy należy
wiecej więcej
choc choć
dzis dziś
az aż
ktorego którego
dwoch dwóch
osob osób
te tę
iz iż
dzieki dzięki
zl zł
czesto często
kazdy każdy
wsrod wśród
ktos ktoś
poniewaz ponieważ
zwiazku związku
zycie życie
wedlug według
zostala została
miec mieć
pozniej później
miala miała
oczywiscie oczywiście
caly cały
czesc część
swoja swoją
powiedzial powiedział
troche trochę
panstwa państwa
okolo około
zas zaś
wczesniej wcześniej
mogl mógł
zycia życia
udzial udział
czesci części
dzien dzień
naprawde naprawdę
przyklad przykład
poczatku początku
sad sąd
zostaly zostały
duzo dużo
gdyz gdyż
dziekuje dziękuję
roznych różnych
zarowno zarówno
ciagu ciągu
jakis jakiś
nia nią
zwlaszcza zwłaszcza
jakies jakieś
swoj swój
koncu końcu
zupelnie zupełnie
wowczas wówczas
zreszta zresztą
wiekszosc większość
mozliwosci możliwości
moge mogę
mozemy możemy
wciaz wciąż
ogole ogóle
moj mój
pieniadze pieniądze
jedna jedną
dosc dość
taka taką
bedziemy będziemy
konca końca
szkoly szkoły
szczegolnie szczególnie
kiedys kiedyś
kazdym każdym
uwage uwagę
soba sobą
mozliwosc możliwość
czlowiek człowiek
sadu sądu
tysiecy tysięcy
wartosci wartości
udalo udało
bede będę
jestesmy jesteśmy
dzialalnosci działalności
wzgledu względu
chociaz chociaż
dzialania działania
srodkow środków
jednoczesnie jednocześnie
rzad rząd
posel poseł
ubezpieczen ubezpieczeń
musza muszą
calej całej
chcial chciał
zadnych żadnych
glownie głównie
urzedu urzędu
zostalo zostało
cala całą
ta tą
wysokosci wysokości
chce chcę
malo mało
zespol zespół
byloby byłoby
znow znów
mowil mówił
swiata świata
cie cię
szkol szkół
wlasciwie właściwie
pol pół
nastepnie następnie
pomiedzy pomiędzy
mialy miały
chca chcą
wylacznie wyłącznie
czlowieka człowieka
slowa słowa
jaka jaką
musial musiał
rozne różne
mialo miało
mialem miałem
zwiazane związane
niektorych niektórych
cale całe
mieszkancow mieszkańców
okazalo okazało
bylem byłem
chwile chwilę
pieniedzy pieniędzy
prace pracę
swiat świat
chcialbym chciałbym
rzeczywiscie rzeczywiście
zaczal zaczął
znalezc znaleźć
kazdego każdego
dlugo długo
zarzadu zarządu
oprocz oprócz
badz bądź
pawel paweł
zyciu życiu
dotyczace dotyczące
pracownikow pracowników
dzialalnosc działalność
wokol wokół
zrobic zrobić
musze muszę
zostac zostać
zespolu zespołu
stal stał
miesiecy miesięcy
sprawe sprawę
najczesciej najczęściej
zostana zostaną
calego całego
strone stronę
postepowania postępowania
mieszkancy mieszkańcy
gdzies gdzieś
kazdej każdej
swiecie świecie
ciagle ciągle
wartosc wartość
widac widać
panstwo państwo
wrzesnia września
piec pięć
calym całym
mogla mogła
dokladnie dokładnie
wladze władze
czlonkow członków
glos głos
chocby choćby
pomoca pomocą
sprzedazy sprzedaży
skad skąd
stad stąd
przepisow przepisów
jestes jesteś
mysli myśli
tytulu tytułu
duze duże
michal michał
niektore niektóre
jakos jakoś
smierci śmierci
pare parę
spolki spółki
rzadu rządu
uslug usług
sluzby służby
zadnego żadnego
doszlo doszło
zlotych złotych
zalezy zależy
tuz tuż
stalo stało
wplyw wpływ
wrecz wręcz
wiekszosci większości
stac stać
badan badań
srodki środki
wkrotce wkrótce
wyraznie wyraźnie
mlodych młodych
niektorzy niektórzy
kosztow kosztów
zwiazanych związanych
bezpieczenstwa bezpieczeństwa
rece ręce
pelni pełni
pazdziernika października
stanislaw stanisław
poszczegolnych poszczególnych
szczescie szczęście
kazda każda
pewnoscia pewnością
zadnej żadnej
budzetu budżetu
kolo koło
polowie połowie
role rolę
wspolpracy współpracy
wlasnej własnej
wazne ważne
mozesz możesz
srodowiska środowiska
wlasne własne
calkiem całkiem
powiedziec powiedzieć
mowic mówić
latwo łatwo
urzad urząd
dzialan działań
wyglada wygląda
przewodniczacy przewodniczący
zarzad zarząd
odbedzie odbędzie
zaden żaden
stala stała
calkowicie całkowicie
dotyczacych dotyczących
dziala działa
rownie równie
ktorymi którymi
wlasnych własnych
wzgledem względem
mezczyzna mężczyzna
rozwoj rozwój
moja moją
powiedziala powiedziała
ksiazki książki
posla posła
wolnosci wolności
zakladu zakładu
finansow finansów
znalazl znalazł
uwaza uważa
udzialu udziału
chcialem chciałem
otoz otóż
gory góry
decyzje decyzję
porzadku porządku
glosu głosu
ubieglym ubiegłym
druga drugą
miescie mieście
zwiazek związek
zaczela zaczęła
czynnosci czynności
spolecznej społecznej
jozef józef
wielka wielką
senatorow senatorów
mna mną
uczniow uczniów
nasza naszą
milionow milionów
kilkanascie kilkanaście
warunkow warunków
reke rękę
mielismy mieliśmy
sobote sobotę
kosciol kościół
robic robić
klientow klientów
pierwsza pierwszą
odpowiedzialnosci odpowiedzialności
mowia mówią
kosciola kościoła
bezposrednio bezpośrednio
najwiecej najwięcej
pieciu pięciu
moglby mógłby
pania panią
pomysl pomysł
zle źle
rozwiazania rozwiązania
moglo mogło
przyszlosci przyszłości
sklad skład
dac dać
strazy straży
mogly mogły
czesciej częściej
jakas jakąś
nowa nową
poslow posłów
tytul tytuł
jakims jakimś
zaklad zakład
mozliwe możliwe
wspolnie wspólnie
czegos czegoś
wladzy władzy
wydzialu wydziału
poczatek początek
wlasnym własnym
wyjasnia wyjaśnia
otrzymal otrzymał
liczyc liczyć
tresci treści
polakow polaków
sprawa sprawą
wieksze większe
mowie mówię
problemow problemów
tlumaczy tłumaczy
obowiazek obowiązek
wladz władz
mowiac mówiąc
dal dał
stanowia stanowią
dotad dotąd
bog bóg
sily siły
kupic kupić
mlodziezy młodzieży
pamieci pamięci
jakiegos jakiegoś
smierc śmierć
wysokosc wysokość
male małe
okreslonych określonych
wlasna własną
zwrocic zwrócić
majac mając
przyjecie przyjęcie
glownym głównym
droge drogę
szkola szkoła
czlonkowie członkowie
lukasz łukasz
wynikow wyników
staly stały
kogos kogoś
wlasnego własnego
rozdzial rozdział
niedziele niedzielę
odpowiedz odpowiedź
imie imię
duzym dużym
wlasciciel właściciel
chetnie chętnie
malych małych
samochod samochód
kazde każde
uslugi usługi
budowe budowę
czyms czymś
metrow metrów
wiadomosci wiadomości
druzyny drużyny
zajecia zajęcia
rozwiazanie rozwiązanie
szanse szansę
bedziesz będziesz
mysl myśl
wojewodztwa województwa
zona żona
mlodzi młodzi
duza dużą
sposrod spośród
glowe głowę
krajow krajów
lodzi łodzi
glowy głowy
najwyzszy najwyższy
ksiadz ksiądz
skladki składki
wziac wziąć
bylby byłby
duzej dużej
chciala chciała
znajduja znajdują
dziesiec dziesięć
